route_key,wavelength_nm,width_nm,depth_nm,particle_panel_id,panel_role,panel_score_p10_relative_proxy,panel_score_p90_relative_proxy,panel_score_claim_level,aggregation_scope,aggregation_particle_family,aggregation_particle_filter_id,aggregation_weighting_id,aggregation_metric_id,aggregation_quantile,anchor_particles_included,contaminants_included_in_route_score,biological_specificity_claim_allowed,true_ev_concentration_claim_allowed,coincidence_event_overlap_proxy_definition,coincidence_event_overlap_proxy_label,coincidence_claim_level
404/W500/D1500,404,500,1500,gold,anchor_or_contaminant_risk_panel,-0.46336795927563357,0.32773537345940856,relative_engineering_proxy_only,unique_route_x_particle_panel,gold,gold_anchor_contaminant_diagnostic_only,unweighted_panel_rows,v1_scalar_score_relative_engineering,p10,True,False,False,False,relative_proxy_from_event_doublet_or_overlap_risk_no_count_or_concentration_claim,non_fragile,relative_blended_pulse_proxy_only
404/W600/D500,404,600,500,EV_sEV,positive_ev_prior,-0.642210840989734,-0.24881520318469139,relative_engineering_proxy_only,unique_route_x_particle_panel,EV_sEV,ev_prior_only,unweighted_panel_rows,v1_scalar_score_relative_engineering,p10,False,False,False,False,relative_proxy_from_event_doublet_or_overlap_risk_no_count_or_concentration_claim,non_fragile,relative_blended_pulse_proxy_only
404/W600/D500,404,600,500,gold,anchor_or_contaminant_risk_panel,-0.5946842606365614,0.6501403424774564,relative_engineering_proxy_only,unique_route_x_particle_panel,gold,gold_anchor_contaminant_diagnostic_only,unweighted_panel_rows,v1_scalar_score_relative_engineering,p10,True,False,False,False,relative_proxy_from_event_doublet_or_overlap_risk_no_count_or_concentration_claim,non_fragile,relative_blended_pulse_proxy_only
404/W600/D550,404,600,550,EV_sEV,positive_ev_prior,-0.5009842414265346,-0.24272949181800696,relative_engineering_proxy_only,unique_route_x_particle_panel,EV_sEV,ev_prior_only,unweighted_panel_rows,v1_scalar_score_relative_engineering,p10,False,False,False,False,relative_proxy_from_event_doublet_or_overlap_risk_no_count_or_concentration_claim,non_fragile,relative_blended_pulse_proxy_only
404/W600/D550,404,600,550,gold,anchor_or_contaminant_risk_panel,-0.5066724016482482,0.621504682527106,relative_engineering_proxy_only,unique_route_x_particle_panel,gold,gold_anchor_contaminant_diagnostic_only,unweighted_panel_rows,v1_scalar_score_relative_engineering,p10,True,False,False,False,relative_proxy_from_event_doublet_or_overlap_risk_no_count_or_concentration_claim,non_fragile,relative_blended_pulse_proxy_only
404/W600/D600,404,600,600,EV_sEV,positive_ev_prior,-0.39094672020237947,-0.2285949581244482,relative_engineering_proxy_only,unique_route_x_particle_panel,EV_sEV,ev_prior_only,unweighted_panel_rows,v1_scalar_score_relative_engineering,p10,False,False,False,False,relative_proxy_from_event_doublet_or_overlap_risk_no_count_or_concentration_claim,non_fragile,relative_blended_pulse_proxy_only
404/W600/D600,404,600,600,gold,anchor_or_contaminant_risk_panel,-0.4206158020009535,0.5685410685423287,relative_engineering_proxy_only,unique_route_x_particle_panel,gold,gold_anchor_contaminant_diagnostic_only,unweighted_panel_rows,v1_scalar_score_relative_engineering,p10,True,False,False,False,relative_proxy_from_event_doublet_or_overlap_risk_no_count_or_concentration_claim,non_fragile,relative_blended_pulse_proxy_only
404/W600/D650,404,600,650,EV_sEV,positive_ev_prior,-0.3217814890141211,-0.2337752844099664,relative_engineering_proxy_only,unique_route_x_particle_panel,EV_sEV,ev_prior_only,unweighted_panel_rows,v1_scalar_score_relative_engineering,p10,False,False,False,False,relative_proxy_from_event_doublet_or_overlap_risk_no_count_or_concentration_claim,non_fragile,relative_blended_pulse_proxy_only
404/W600/D650,404,600,650,gold,anchor_or_contaminant_risk_panel,-0.3485072131604351,0.5355904116186275,relative_engineering_proxy_only,unique_route_x_particle_panel,gold,gold_anchor_contaminant_diagnostic_only,unweighted_panel_rows,v1_scalar_score_relative_engineering,p10,True,False,False,False,relative_proxy_from_event_doublet_or_overlap_risk_no_count_or_concentration_claim,non_fragile,relative_blended_pulse_proxy_only
404/W600/D700,404,600,700,EV_sEV,positive_ev_prior,-0.32358128683365806,-0.23234961906747556,relative_engineering_proxy_only,unique_route_x_particle_panel,EV_sEV,ev_prior_only,unweighted_panel_rows,v1_scalar_score_relative_engineering,p10,False,False,False,False,relative_proxy_from_event_doublet_or_overlap_risk_no_count_or_concentration_claim,non_fragile,relative_blended_pulse_proxy_only
404/W600/D700,404,600,700,gold,anchor_or_contaminant_risk_panel,-0.398659604648684,0.4961557851323425,relative_engineering_proxy_only,unique_route_x_particle_panel,gold,gold_anchor_contaminant_diagnostic_only,unweighted_panel_rows,v1_scalar_score_relative_engineering,p10,True,False,False,False,relative_proxy_from_event_doublet_or_overlap_risk_no_count_or_concentration_claim,non_fragile,relative_blended_pulse_proxy_only
404/W600/D800,404,600,800,EV_sEV,positive_ev_prior,-0.3305976763075158,-0.26520928324852705,relative_engineering_proxy_only,unique_route_x_particle_panel,EV_sEV,ev_prior_only,unweighted_panel_rows,v1_scalar_score_relative_engineering,p10,False,False,False,False,relative_proxy_from_event_doublet_or_overlap_risk_no_count_or_concentration_claim,non_fragile,relative_blended_pulse_proxy_only
404/W600/D800,404,600,800,gold,anchor_or_contaminant_risk_panel,-0.42034620180959054,0.454228660999771,relative_engineering_proxy_only,unique_route_x_particle_panel,gold,gold_anchor_contaminant_diagnostic_only,unweighted_panel_rows,v1_scalar_score_relative_engineering,p10,True,False,False,False,relative_proxy_from_event_doublet_or_overlap_risk_no_count_or_concentration_claim,non_fragile,relative_blended_pulse_proxy_only
404/W600/D900,404,600,900,EV_sEV,positive_ev_prior,-0.3551049111850976,-0.31089136576290194,relative_engineering_proxy_only,unique_route_x_particle_panel,EV_sEV,ev_prior_only,unweighted_panel_rows,v1_scalar_score_relative_engineering,p10,False,False,False,False,relative_proxy_from_event_doublet_or_overlap_risk_no_count_or_concentration_claim,non_fragile,relative_blended_pulse_proxy_only
404/W600/D900,404,600,900,gold,anchor_or_contaminant_risk_panel,-0.4045822325672005,0.41852147269037,relative_engineering_proxy_only,unique_route_x_particle_panel,gold,gold_anchor_contaminant_diagnostic_only,unweighted_panel_rows,v1_scalar_score_relative_engineering,p10,True,False,False,False,relative_proxy_from_event_doublet_or_overlap_risk_no_count_or_concentration_claim,non_fragile,relative_blended_pulse_proxy_only
404/W600/D1000,404,600,1000,EV_sEV,positive_ev_prior,-0.3989592637815199,-0.29963665544810614,relative_engineering_proxy_only,unique_route_x_particle_panel,EV_sEV,ev_prior_only,unweighted_panel_rows,v1_scalar_score_relative_engineering,p10,False,False,False,False,relative_proxy_from_event_doublet_or_overlap_risk_no_count_or_concentration_claim,non_fragile,relative_blended_pulse_proxy_only
404/W600/D1000,404,600,1000,gold,anchor_or_contaminant_risk_panel,-0.36630794018818336,0.3947457221483487,relative_engineering_proxy_only,unique_route_x_particle_panel,gold,gold_anchor_contaminant_diagnostic_only,unweighted_panel_rows,v1_scalar_score_relative_engineering,p10,True,False,False,False,relative_proxy_from_event_doublet_or_overlap_risk_no_count_or_concentration_claim,non_fragile,relative_blended_pulse_proxy_only
404/W600/D1100,404,600,1100,EV_sEV,positive_ev_prior,-0.40785269211400743,-0.2825580584643526,relative_engineering_proxy_only,unique_route_x_particle_panel,EV_sEV,ev_prior_only,unweighted_panel_rows,v1_scalar_score_relative_engineering,p10,False,False,False,False,relative_proxy_from_event_doublet_or_overlap_risk_no_count_or_concentration_claim,non_fragile,relative_blended_pulse_proxy_only
404/W600/D1100,404,600,1100,gold,anchor_or_contaminant_risk_panel,-0.3714848101495293,0.3843636361346606,relative_engineering_proxy_only,unique_route_x_particle_panel,gold,gold_anchor_contaminant_diagnostic_only,unweighted_panel_rows,v1_scalar_score_relative_engineering,p10,True,False,False,False,relative_proxy_from_event_doublet_or_overlap_risk_no_count_or_concentration_claim,non_fragile,relative_blended_pulse_proxy_only
