diagnostic_schema_version,candidate_id,route_key,comparison_stratum,jones_basis_family_id,v1_scalar_rank_percentile_in_stratum,bfp_roi_rank_percentile_in_stratum,jones_rank_percentile_in_stratum,jones_vs_v1_rank_percentile_delta,jones_pairwise_inversion_flag,polarization_surrogate_risk_label,polarization_surrogate_risk_reason_codes,raw_jones_amplitude_proxy_diagnostic_only,raw_magnitude_final_gate_allowed,calibrated_claim_allowed,p0_release_conclusion_changed,physical_ceiling_role
ev_nodi_p1_physical_ceiling_no_solver_diagnostic_v1,v1_route_404_W700_D900,404/W700/D900,all_ranked_routes,bfp_roi_jacobian_audit_proxy_no_vector_solver,0.4308231173380035,0.16112084063047283,0.16112084063047283,-0.26970227670753066,False,high_surrogate_risk,JONES.NO_SOLVER_RANK_PROXY;JONES.RANK_PERCENTILE_SHIFT_MAJOR,-4.8485760735071555,False,False,False,surrogate_risk_reduction_only
ev_nodi_p1_physical_ceiling_no_solver_diagnostic_v1,v1_route_404_W700_D1000,404/W700/D1000,all_ranked_routes,bfp_roi_jacobian_audit_proxy_no_vector_solver,0.3064798598949212,0.09982486865148865,0.09982486865148865,-0.20665499124343256,False,medium_surrogate_risk,JONES.NO_SOLVER_RANK_PROXY;JONES.RANK_PERCENTILE_SHIFT_MODERATE,-5.754749416527135,False,False,False,surrogate_risk_reduction_only
ev_nodi_p1_physical_ceiling_no_solver_diagnostic_v1,v1_route_404_W700_D1100,404/W700/D1100,all_ranked_routes,bfp_roi_jacobian_audit_proxy_no_vector_solver,0.2959719789842382,0.06479859894921192,0.06479859894921192,-0.2311733800350263,False,medium_surrogate_risk,JONES.NO_SOLVER_RANK_PROXY;JONES.RANK_PERCENTILE_SHIFT_MODERATE,-6.557399468448193,False,False,False,surrogate_risk_reduction_only
ev_nodi_p1_physical_ceiling_no_solver_diagnostic_v1,v1_route_404_W700_D1200,404/W700/D1200,all_ranked_routes,bfp_roi_jacobian_audit_proxy_no_vector_solver,0.32049036777583184,0.045534150612959734,0.045534150612959734,-0.2749562171628721,False,high_surrogate_risk,JONES.NO_SOLVER_RANK_PROXY;JONES.RANK_PERCENTILE_SHIFT_MAJOR,-7.035255896512379,False,False,False,surrogate_risk_reduction_only
ev_nodi_p1_physical_ceiling_no_solver_diagnostic_v1,v1_route_404_W700_D1300,404/W700/D1300,all_ranked_routes,bfp_roi_jacobian_audit_proxy_no_vector_solver,0.38353765323992994,0.04028021015761818,0.04028021015761818,-0.34325744308231176,False,high_surrogate_risk,JONES.NO_SOLVER_RANK_PROXY;JONES.RANK_PERCENTILE_SHIFT_MAJOR,-7.191368533399627,False,False,False,surrogate_risk_reduction_only
ev_nodi_p1_physical_ceiling_no_solver_diagnostic_v1,v1_route_404_W700_D1400,404/W700/D1400,all_ranked_routes,bfp_roi_jacobian_audit_proxy_no_vector_solver,0.47810858143607704,0.04378283712784592,0.04378283712784592,-0.4343257443082311,False,high_surrogate_risk,JONES.NO_SOLVER_RANK_PROXY;JONES.RANK_PERCENTILE_SHIFT_MAJOR,-7.070989220783676,False,False,False,surrogate_risk_reduction_only
ev_nodi_p1_physical_ceiling_no_solver_diagnostic_v1,v1_route_404_W700_D1500,404/W700/D1500,all_ranked_routes,bfp_roi_jacobian_audit_proxy_no_vector_solver,0.3905429071803853,0.05954465849387036,0.05954465849387036,-0.33099824868651495,False,high_surrogate_risk,JONES.NO_SOLVER_RANK_PROXY;JONES.RANK_PERCENTILE_SHIFT_MAJOR,-6.631529098519847,False,False,False,surrogate_risk_reduction_only
ev_nodi_p1_physical_ceiling_no_solver_diagnostic_v1,v1_route_404_W800_D500,404/W800/D500,all_ranked_routes,bfp_roi_jacobian_audit_proxy_no_vector_solver,0.11733800350262702,0.6637478108581436,0.6637478108581436,0.5464098073555166,False,high_surrogate_risk,JONES.NO_SOLVER_RANK_PROXY;JONES.RANK_PERCENTILE_SHIFT_MAJOR,-0.9970534256204443,False,False,False,surrogate_risk_reduction_only
ev_nodi_p1_physical_ceiling_no_solver_diagnostic_v1,v1_route_404_W800_D550,404/W800/D550,all_ranked_routes,bfp_roi_jacobian_audit_proxy_no_vector_solver,0.17513134851138357,0.6024518388791593,0.6024518388791593,0.42732049036777575,False,high_surrogate_risk,JONES.NO_SOLVER_RANK_PROXY;JONES.RANK_PERCENTILE_SHIFT_MAJOR,-1.2708549060249714,False,False,False,surrogate_risk_reduction_only
ev_nodi_p1_physical_ceiling_no_solver_diagnostic_v1,v1_route_404_W800_D600,404/W800/D600,all_ranked_routes,bfp_roi_jacobian_audit_proxy_no_vector_solver,0.30122591943957966,0.542907180385289,0.542907180385289,0.2416812609457093,False,medium_surrogate_risk,JONES.NO_SOLVER_RANK_PROXY;JONES.RANK_PERCENTILE_SHIFT_MODERATE,-1.6380903678245624,False,False,False,surrogate_risk_reduction_only
ev_nodi_p1_physical_ceiling_no_solver_diagnostic_v1,v1_route_404_W800_D650,404/W800/D650,all_ranked_routes,bfp_roi_jacobian_audit_proxy_no_vector_solver,0.44658493870402804,0.49036777583187385,0.49036777583187385,0.04378283712784581,False,low_surrogate_risk,JONES.NO_SOLVER_RANK_PROXY,-1.9763550365240925,False,False,False,surrogate_risk_reduction_only
ev_nodi_p1_physical_ceiling_no_solver_diagnostic_v1,paper_proxy_404_W800_D700,404/W800/D700,all_ranked_routes,bfp_roi_jacobian_audit_proxy_no_vector_solver,0.5043782837127846,0.4343257443082311,0.4343257443082311,-0.07005253940455347,False,low_surrogate_risk,JONES.NO_SOLVER_RANK_PROXY,-2.427707659320214,False,False,False,surrogate_risk_reduction_only
ev_nodi_p1_physical_ceiling_no_solver_diagnostic_v1,v1_route_404_W800_D800,404/W800/D800,all_ranked_routes,bfp_roi_jacobian_audit_proxy_no_vector_solver,0.4640980735551664,0.3345008756567426,0.3345008756567426,-0.12959719789842383,False,medium_surrogate_risk,JONES.NO_SOLVER_RANK_PROXY;JONES.RANK_PERCENTILE_SHIFT_MODERATE,-3.319615243797844,False,False,False,surrogate_risk_reduction_only
ev_nodi_p1_physical_ceiling_no_solver_diagnostic_v1,v1_route_404_W800_D900,404/W800/D900,all_ranked_routes,bfp_roi_jacobian_audit_proxy_no_vector_solver,0.38178633975481613,0.22591943957968474,0.22591943957968474,-0.15586690017513138,False,medium_surrogate_risk,JONES.NO_SOLVER_RANK_PROXY;JONES.RANK_PERCENTILE_SHIFT_MODERATE,-4.190468785052534,False,False,False,surrogate_risk_reduction_only
ev_nodi_p1_physical_ceiling_no_solver_diagnostic_v1,v1_route_404_W800_D1000,404/W800/D1000,all_ranked_routes,bfp_roi_jacobian_audit_proxy_no_vector_solver,0.2819614711033275,0.13835376532399302,0.13835376532399302,-0.14360770577933446,False,medium_surrogate_risk,JONES.NO_SOLVER_RANK_PROXY;JONES.RANK_PERCENTILE_SHIFT_MODERATE,-5.079226710067299,False,False,False,surrogate_risk_reduction_only
ev_nodi_p1_physical_ceiling_no_solver_diagnostic_v1,v1_route_404_W800_D1100,404/W800/D1100,all_ranked_routes,bfp_roi_jacobian_audit_proxy_no_vector_solver,0.2416812609457093,0.09807355516637473,0.09807355516637473,-0.14360770577933457,False,medium_surrogate_risk,JONES.NO_SOLVER_RANK_PROXY;JONES.RANK_PERCENTILE_SHIFT_MODERATE,-5.772167560055559,False,False,False,surrogate_risk_reduction_only
